Year,Aircraft Deps (000),Aircraft KMs (mils)
1984,11453,10102
1985,11952,10598
1986,12698,11491
1987,13306,12266
1988,13942,13017
1989,13945,13493
1990,14661,14371
1991,14269,14262
1992,14819,15690
1993,15777,17118
1994,17038,18249
1995,17816,19470
1996,18758,20601
1997,19320,21630
1998,19686,22438
1999,20739,23742
2000,24143,25982
2001,24234,26157
2002,23095,25507
2003,23817,26560
2004,26781,30122
2005,28077,31857
2006,28776,33179
2007,29869,34935
2008,29989,35769
2009,29372,34894
2010,30754,38395
2011,31768,40471
2012,32193,41485
2013,32583,42772
2014,33273,44494
2015,34193,46739
2016,35515,49240
2017,36543,51832
2018,37823,54279
2019,38299,56199
